  Max Value: 3.736723, Column: SRR16005345  Second Max Value: 2.960757, Column: SRR16005343
  Max Value: 2.478111, Column: SRR13490729  Second Max Value: 1.275102, Column: SRR16005343
  Max Value: 3.987742, Column: SRR3109702  Second Max Value: 1.463367, Column: SRR13490730
  Max Value: 4.369018, Column: SRR15291905  Second Max Value: 3.959618, Column: SRR15291904
  Max Value: 1.399729, Column: SRR12886434  Second Max Value: 0.594547, Column: SRR16005345
  Max Value: 1.329581, Column: SRR15838014  Second Max Value: 1.264573, Column: SRR15838024
  Max Value: 1.182260, Column: SRR19534948  Second Max Value: 1.121296, Column: SRR19534942
  Max Value: 2.024898, Column: SRR19534945  Second Max Value: 1.803229, Column: SRR19534944
  Max Value: 3.782781, Column: SRR19534943  Second Max Value: 3.252205, Column: SRR19534945
  Max Value: 3.767765, Column: SRR19534944  Second Max Value: 3.642443, Column: SRR19534943
  Max Value: 1.035712, Column: SRR3109702  Second Max Value: 0.993802, Column: SRR16005346
  Max Value: 19.443428, Column: SRR16005345  Second Max Value: 9.146134, Column: SRR16005344
  Max Value: 1.537490, Column: SRR12886434  Second Max Value: 1.380103, Column: SRR12886446
  Max Value: 1.502537, Column: SRR18603952  Second Max Value: 1.125031, Column: SRR2777583
  Max Value: 12.179626, Column: SRR15291905  Second Max Value: 8.882614, Column: SRR15291903
  Max Value: 1.331464, Column: SRR12886446  Second Max Value: 1.145203, Column: SRR12886434
  Max Value: 1.069204, Column: SRR12886434  Second Max Value: 0.896534, Column: SRR15291904
  Max Value: 1.283489, Column: SRR18603954  Second Max Value: 0.633020, Column: SRR16005346
  Max Value: 3.121919, Column: SRR12886434  Second Max Value: 2.753505, Column: SRR12886446
  Max Value: 1.546364, Column: SRR16005345  Second Max Value: 1.086495, Column: SRR16005344
  Max Value: 1.866035, Column: SRR12886447  Second Max Value: 0.029325, Column: SRR12886434
  Max Value: 1.658461, Column: SRR15291904  Second Max Value: 1.406516, Column: SRR12886446
  Max Value: 2.756100, Column: SRR16005345  Second Max Value: 0.868455, Column: SRR16005344
  Max Value: 2.332683, Column: SRR19850291  Second Max Value: 0.893054, Column: SRR19850287
  Max Value: 2.040690, Column: SRR18603955  Second Max Value: 1.476987, Column: SRR16005344
  Max Value: 4.725028, Column: SRR13490728  Second Max Value: 2.467392, Column: SRR13490730
  Max Value: 6.718570, Column: SRR12886432  Second Max Value: 4.041730, Column: SRR11657438
  Max Value: 3.292907, Column: SRR14740613  Second Max Value: 1.146401, Column: SRR14740614
  Max Value: 4.536893, Column: SRR15183068  Second Max Value: 2.809069, Column: SRR15183066
  Max Value: 2.456763, Column: SRR3109709  Second Max Value: 2.366861, Column: SRR3109710
  Max Value: 1.217056, Column: SRR15291904  Second Max Value: 1.061482, Column: SRR16005345
  Max Value: 6.986132, Column: SRR16005344  Second Max Value: 0.007245, Column: SRR19534948
  Max Value: 2.793494, Column: SRR15838024  Second Max Value: 0.000000, Column: SRR11657438
  Max Value: 3.293221, Column: SRR16005345  Second Max Value: 0.376601, Column: SRR15291903
  Max Value: 2.644717, Column: SRR16005344  Second Max Value: 0.214415, Column: SRR16005346
  Max Value: 2.538298, Column: SRR16005344  Second Max Value: 1.505547, Column: SRR16005345
  Max Value: 1.265517, Column: SRR18603952  Second Max Value: 0.663343, Column: SRR3109709
  Max Value: 3.711711, Column: SRR13490730  Second Max Value: 2.408632, Column: SRR13490729
  Max Value: 2.468519, Column: SRR16005344  Second Max Value: 0.664989, Column: SRR22028617
  Max Value: 1.557220, Column: SRR2777584  Second Max Value: 1.207482, Column: SRR13490728
  Max Value: 2.475990, Column: SRR15183067  Second Max Value: 1.524475, Column: SRR16005345
  Max Value: 2.467129, Column: SRR16005343  Second Max Value: 2.255978, Column: SRR16005345
  Max Value: 2.414771, Column: SRR14740614  Second Max Value: 1.863628, Column: SRR14740613
  Max Value: 4.325974, Column: SRR15291903  Second Max Value: 1.401225, Column: SRR16005344
  Max Value: 8.733480, Column: SRR13490729  Second Max Value: 1.223825, Column: SRR13490730
  Max Value: 2.973876, Column: SRR12886446  Second Max Value: 1.707117, Column: SRR12886434
  Max Value: 1.242943, Column: SRR12886435  Second Max Value: 1.183215, Column: SRR16005345
  Max Value: 1.526893, Column: SRR16005344  Second Max Value: 1.290242, Column: SRR16005343
  Max Value: 4.745861, Column: SRR19534944  Second Max Value: 4.570820, Column: SRR19534945
  Max Value: 3.046525, Column: SRR22028618  Second Max Value: 2.333495, Column: SRR16005345
  Max Value: 2.349272, Column: SRR13490728  Second Max Value: 2.059961, Column: SRR13490730
  Max Value: 1.890521, Column: SRR16005345  Second Max Value: 1.423464, Column: SRR14740614
  Max Value: 5.063525, Column: SRR16005344  Second Max Value: 0.918697, Column: SRR16005343
  Max Value: 1.696650, Column: SRR15838018  Second Max Value: 1.613867, Column: SRR15838015
  Max Value: 5.058086, Column: SRR14740613  Second Max Value: 4.211060, Column: SRR14740614
  Max Value: 3.851508, Column: SRR13490729  Second Max Value: 1.353761, Column: SRR16005346
  Max Value: 1.546244, Column: SRR22028618  Second Max Value: 0.952389, Column: SRR13490729
  Max Value: 3.027826, Column: SRR16005343  Second Max Value: 2.739180, Column: SRR16005345
  Max Value: 3.232529, Column: SRR16005346  Second Max Value: 2.455757, Column: SRR16005344
  Max Value: 3.666795, Column: SRR8703157  Second Max Value: 3.665344, Column: SRR1638782
  Max Value: 2.842174, Column: SRR13490730  Second Max Value: 2.119892, Column: SRR14740613
  Max Value: 1.955687, Column: SRR12886432  Second Max Value: 1.418794, Column: SRR16005343
  Max Value: 4.761333, Column: SRR16005344  Second Max Value: 1.729105, Column: SRR16005345
  Max Value: 2.720921, Column: SRR18603955  Second Max Value: 0.000000, Column: SRR11657438
  Max Value: 1.773025, Column: SRR13490729  Second Max Value: 0.794274, Column: SRR16005344
  Max Value: 1.664724, Column: SRR16005345  Second Max Value: 1.082924, Column: SRR16005344
  Max Value: 3.205365, Column: SRR16005344  Second Max Value: 0.184546, Column: SRR16005345
  Max Value: 7.446159, Column: SRR22028618  Second Max Value: 6.589089, Column: SRR22028616
  Max Value: 1.315224, Column: SRR16005345  Second Max Value: 1.225533, Column: SRR12886432
  Max Value: 1.317611, Column: SRR12886447  Second Max Value: 0.648804, Column: SRR13490730
  Max Value: 1.348901, Column: SRR15291903  Second Max Value: 1.329988, Column: SRR19850294
  Max Value: 2.208745, Column: SRR12886447  Second Max Value: 1.197364, Column: SRR11657440
  Max Value: 1.695728, Column: SRR16005345  Second Max Value: 1.549451, Column: SRR16005344
  Max Value: 1.952587, Column: SRR16005345  Second Max Value: 0.000000, Column: SRR11657438
  Max Value: 1.575930, Column: SRR12886435  Second Max Value: 1.120442, Column: SRR16005345
  Max Value: 1.660488, Column: SRR12886447  Second Max Value: 1.170971, Column: SRR16005344
  Max Value: 3.401783, Column: SRR18603954  Second Max Value: 2.475633, Column: SRR18603952
  Max Value: 3.739409, Column: SRR1640064  Second Max Value: 3.681570, Column: SRR8703221
  Max Value: 1.789905, Column: SRR16005344  Second Max Value: 1.585242, Column: SRR15183067
  Max Value: 2.238984, Column: SRR1640064  Second Max Value: 2.113003, Column: SRR8703221
  Max Value: 3.393331, Column: SRR16005345  Second Max Value: 1.918283, Column: SRR13490730
  Max Value: 1.369392, Column: SRR5363153  Second Max Value: 1.151896, Column: SRR18603952
  Max Value: 7.808375, Column: SRR22028616  Second Max Value: 2.918525, Column: SRR5363153
  Max Value: 25.818781, Column: SRR5363153  Second Max Value: 12.009151, Column: SRR1640064
  Max Value: 3.802605, Column: SRR8703221  Second Max Value: 3.268769, Column: SRR1640064
  Max Value: 3.955378, Column: SRR16005345  Second Max Value: 1.685601, Column: SRR16005344
  Max Value: 1.487716, Column: SRR12886447  Second Max Value: 0.753626, Column: SRR12886435
  Max Value: 2.052407, Column: SRR12886447  Second Max Value: 0.769858, Column: SRR12886435
  Max Value: 1.838460, Column: SRR18603955  Second Max Value: 1.225533, Column: SRR12886432
  Max Value: 1.781298, Column: SRR12886432  Second Max Value: 1.587389, Column: SRR16005344
  Max Value: 2.457944, Column: SRR3109704  Second Max Value: 1.772792, Column: SRR3109703
  Max Value: 1.128980, Column: SRR8703221  Second Max Value: 1.125787, Column: SRR1640064
  Max Value: 3.387086, Column: SRR15291904  Second Max Value: 2.591246, Column: SRR19534945
  Max Value: 1.488413, Column: SRR3109702  Second Max Value: 0.698498, Column: SRR11657440
  Max Value: 5.818025, Column: SRR15291903  Second Max Value: 3.934008, Column: SRR15291905
  Max Value: 1.337616, Column: SRR14740614  Second Max Value: 0.252921, Column: SRR16005343
  Max Value: 1.761379, Column: SRR15291905  Second Max Value: 0.929255, Column: SRR2777522
  Max Value: 1.421711, Column: SRR3109710  Second Max Value: 0.706878, Column: SRR2777520
  Max Value: 1.297179, Column: SRR3109708  Second Max Value: 0.989740, Column: SRR3109710
  Max Value: 1.464846, Column: SRR11657438  Second Max Value: 1.353186, Column: SRR11657440
  Max Value: 2.275551, Column: SRR16005345  Second Max Value: 1.481786, Column: SRR16005344
  Max Value: 2.239338, Column: SRR2777520  Second Max Value: 1.293764, Column: SRR15838017
  Max Value: 2.157931, Column: SRR19534948  Second Max Value: 2.135046, Column: SRR19534942
  Max Value: 1.423707, Column: SRR14740613  Second Max Value: 1.390394, Column: SRR16005345
  Max Value: 2.361292, Column: SRR19534943  Second Max Value: 2.311548, Column: SRR16005344
  Max Value: 2.584450, Column: SRR19534945  Second Max Value: 2.455330, Column: SRR15291904
  Max Value: 2.694148, Column: SRR15291903  Second Max Value: 1.627199, Column: SRR14740613
  Max Value: 2.981759, Column: SRR14740613  Second Max Value: 2.305551, Column: SRR1638782
  Max Value: 1.363757, Column: SRR14740613  Second Max Value: 1.152711, Column: SRR15291903
  Max Value: 1.085873, Column: SRR3109710  Second Max Value: 1.044351, Column: SRR3109709
  Max Value: 5.108884, Column: SRR15300720  Second Max Value: 1.052133, Column: SRR3109704
  Max Value: 1.058521, Column: SRR15183067  Second Max Value: 0.760632, Column: SRR2777583
  Max Value: 2.072700, Column: SRR15291903  Second Max Value: 0.750537, Column: SRR3109702
  Max Value: 2.879013, Column: SRR1638782  Second Max Value: 2.849435, Column: SRR8703157
  Max Value: 10.027334, Column: SRR1640064  Second Max Value: 8.583463, Column: SRR8703221
  Max Value: 5.316864, Column: SRR5363153  Second Max Value: 2.468897, Column: SRR2777530
  Max Value: 1.500469, Column: SRR5363153  Second Max Value: 1.210798, Column: SRR12886434
  Max Value: 1.865810, Column: SRR3109702  Second Max Value: 1.685922, Column: SRR2777520
  Max Value: 6.139239, Column: SRR5363153  Second Max Value: 2.525803, Column: SRR3109709
  Max Value: 1.353420, Column: SRR22028617  Second Max Value: 1.170062, Column: SRR22028618
  Max Value: 7.846176, Column: SRR16005344  Second Max Value: 2.270328, Column: SRR16005345
  Max Value: 1.398732, Column: SRR16005344  Second Max Value: 1.371105, Column: SRR16005345
  Max Value: 3.575239, Column: SRR16005344  Second Max Value: 0.659244, Column: SRR16005345
  Max Value: 7.347436, Column: SRR16005344  Second Max Value: 2.277563, Column: SRR16005345
  Max Value: 2.435939, Column: SRR16005344  Second Max Value: 0.000000, Column: SRR11657438
  Max Value: 8.511897, Column: SRR16005344  Second Max Value: 3.763212, Column: SRR16005345
  Max Value: 1.864607, Column: SRR16005344  Second Max Value: 0.000000, Column: SRR11657438
  Max Value: 2.525194, Column: SRR18603955  Second Max Value: 0.000000, Column: SRR11657438
  Max Value: 1.788153, Column: SRR16005344  Second Max Value: 1.003067, Column: SRR13490730
  Max Value: 2.289624, Column: SRR16005344  Second Max Value: 0.255415, Column: SRR16005345
  Max Value: 1.637291, Column: SRR16005344  Second Max Value: 0.619366, Column: SRR16005345
  Max Value: 5.622190, Column: SRR16005344  Second Max Value: 2.624789, Column: SRR16005345
  Max Value: 17.614109, Column: SRR16005344  Second Max Value: 6.015539, Column: SRR16005345
  Max Value: 13.427493, Column: SRR16005344  Second Max Value: 3.712203, Column: SRR16005345
  Max Value: 2.255767, Column: SRR16005344  Second Max Value: 1.708829, Column: SRR16005345
  Max Value: 8.564538, Column: SRR16005344  Second Max Value: 3.705585, Column: SRR16005345
  Max Value: 3.875689, Column: SRR16005344  Second Max Value: 1.723569, Column: SRR16005345
  Max Value: 16.975269, Column: SRR16005345  Second Max Value: 16.971725, Column: SRR16005344
  Max Value: 5.574987, Column: SRR16005344  Second Max Value: 2.564267, Column: SRR16005345
  Max Value: 12.091866, Column: SRR16005344  Second Max Value: 5.693018, Column: SRR16005345
  Max Value: 5.798763, Column: SRR16005344  Second Max Value: 3.280508, Column: SRR16005345
  Max Value: 7.787403, Column: SRR16005344  Second Max Value: 2.313894, Column: SRR16005345
  Max Value: 9.028096, Column: SRR16005344  Second Max Value: 2.755299, Column: SRR16005345
  Max Value: 10.048371, Column: SRR16005344  Second Max Value: 3.614703, Column: SRR16005345
  Max Value: 1.458518, Column: SRR16005344  Second Max Value: 0.301569, Column: SRR16005345
  Max Value: 3.963345, Column: SRR16005344  Second Max Value: 1.527898, Column: SRR16005345
  Max Value: 4.096081, Column: SRR16005344  Second Max Value: 1.494698, Column: SRR16005345
  Max Value: 4.988699, Column: SRR16005344  Second Max Value: 1.524563, Column: SRR16005345
  Max Value: 2.099522, Column: SRR16005344  Second Max Value: 0.125578, Column: SRR16005343
  Max Value: 2.295310, Column: SRR16005344  Second Max Value: 1.376680, Column: SRR16005345
  Max Value: 8.089977, Column: SRR16005344  Second Max Value: 2.270498, Column: SRR16005345
  Max Value: 28.084248, Column: SRR16005344  Second Max Value: 12.084392, Column: SRR16005345
  Max Value: 42.934807, Column: SRR16005344  Second Max Value: 4.835277, Column: SRR16005345
  Max Value: 1.340160, Column: SRR16005345  Second Max Value: 1.214994, Column: SRR16005344
  Max Value: 1.478987, Column: SRR5363153  Second Max Value: 1.452540, Column: SRR8703221
  Max Value: 2.066933, Column: SRR5363153  Second Max Value: 2.006520, Column: SRR8703221
  Max Value: 14.765782, Column: SRR12886446  Second Max Value: 12.478689, Column: SRR12886434
  Max Value: 2.895213, Column: SRR16005345  Second Max Value: 2.490439, Column: SRR16005344
