  Max Value: 1.983289, Column: SRR8357176  Second Max Value: 1.645470, Column: SRR8357174
  Max Value: 3.404532, Column: ERR2074736  Second Max Value: 2.397607, Column: ERR489205
  Max Value: 3.539122, Column: SRR8357174  Second Max Value: 3.226155, Column: SRR14788778
  Max Value: 4.295419, Column: SRR8357174  Second Max Value: 0.740027, Column: SRR8002939
  Max Value: 2.145221, Column: SRR8258959  Second Max Value: 1.358224, Column: ERR2074048
  Max Value: 2.663242, Column: ERR2074547  Second Max Value: 2.235932, Column: ERR2076948
  Max Value: 1.202194, Column: SRR8002918  Second Max Value: 0.493909, Column: SRR8357176
  Max Value: 1.714487, Column: SRR8258959  Second Max Value: 0.648170, Column: SRR7755449
  Max Value: 2.020039, Column: ERR9578131  Second Max Value: 1.827664, Column: ERR9578129
  Max Value: 4.910408, Column: ERR489204  Second Max Value: 4.507563, Column: ERR489205
  Max Value: 3.550028, Column: SRR7755380  Second Max Value: 3.196207, Column: SRR8399082
  Max Value: 1.773649, Column: SRR11823539  Second Max Value: 1.600541, Column: ERR2075975
  Max Value: 1.578471, Column: SRR11823546  Second Max Value: 1.491207, Column: SRR11823539
  Max Value: 1.684594, Column: ERR2075980  Second Max Value: 0.907070, Column: ERR2075978
  Max Value: 3.585184, Column: SRR14788780  Second Max Value: 2.695144, Column: SRR14788778
  Max Value: 2.757913, Column: SRR14788780  Second Max Value: 2.649779, Column: SRR14788778
  Max Value: 3.241515, Column: SRR14839326  Second Max Value: 2.279568, Column: SRR14839325
  Max Value: 11.724077, Column: SRR3109717  Second Max Value: 2.964086, Column: SRR3109718
  Max Value: 14.811825, Column: SRR3109717  Second Max Value: 3.720213, Column: SRR3109718
  Max Value: 4.996635, Column: SRR3109717  Second Max Value: 1.687663, Column: SRR3109718
  Max Value: 1.385162, Column: SRR3109717  Second Max Value: 0.455825, Column: SRR3109718
  Max Value: 3.105946, Column: SRR14839324  Second Max Value: 2.836245, Column: SRR14839325
  Max Value: 13.097892, Column: SRR3109717  Second Max Value: 2.806290, Column: SRR3109718
